Name,City,Region,Applied,Admitted,Enrolled,Acceptance Rate
PALOS VERDES HIGH SCHOOL,Palos Verdes Estate,Los Angeles,106,20,4,0.18867924528301888
PALOS VERDES PENINSULA HS,Rolling Hills Estat,Los Angeles,184,36,14,0.1956521739130435
PARADISE HIGH SCHOOL,Paradise,Butte,9,4,3,0.4444444444444444
PASADENA HIGH SCHOOL,Pasadena,Los Angeles,41,10,5,0.24390243902439024
PATRICK HENRY HIGH SCHOOL,San Diego,San Diego,66,10,6,0.15151515151515152
PATRIOT HIGH SCHOOL,Riverside,Riverside,12,4,3,0.3333333333333333
PATTERSON HIGH SCHOOL,Patterson,Stanislaus,35,9,7,0.2571428571428571
PETALUMA HIGH SCHOOL,Petaluma,Sonoma,32,8,4,0.25
PHILLIP & SALA BURTON ACAD HS,San Francisco,San Francisco,56,10,6,0.17857142857142858
PHILLIPS EXETER ACADEMY,Exeter,NH,57,12,3,0.21052631578947367
PIEDMONT HILLS HIGH SCHOOL,San Jose,Santa Clara,110,22,14,0.2
PINOLE VALLEY HIGH SCHOOL,Pinole,Contra Costa,35,11,10,0.3142857142857143
PIONEER HIGH SCHOOL,San Jose,Santa Clara,72,15,10,0.20833333333333334
PITTSBURG HIGH SCHOOL,Pittsburg,Contra Costa,69,25,18,0.36231884057971014
PLEASANT GROVE HIGH SCHOOL,Elk Grove,Sacramento,69,20,9,0.2898550724637681
PLEASANT VALLEY HIGH SCHOOL,Bettendorf,IA,7,4,3,0.5714285714285714
POINT LOMA HIGH SCHOOL,San Diego,San Diego,55,9,5,0.16363636363636364
POLYTECHNIC SCHOOL,Pasadena,Los Angeles,49,10,5,0.20408163265306123
PORT OF LOS ANGELES HS,San Pedro,Los Angeles,18,5,3,0.2777777777777778
PORTOLA HIGH SCHOOL,Irvine,Orange,175,57,30,0.32571428571428573
POWAY HIGH SCHOOL,Poway,San Diego,59,15,9,0.2542372881355932
PRESENTATION HIGH SCHOOL,San Jose,Santa Clara,59,10,5,0.1694915254237288
PREUSS SCHOOL UCSD,La Jolla,San Diego,42,17,4,0.40476190476190477
PRINCETON HIGH SCHOOL,Princeton,NJ,57,15,5,0.2631578947368421
PROSPECT HIGH SCHOOL,Saratoga,Santa Clara,48,10,6,0.20833333333333334
PUNAHOU SCHOOL,Honolulu,HI,80,18,6,0.225
QUARRY LANE SCHOOL,Dublin,Alameda,34,12,6,0.35294117647058826
QUARTZ HILL HIGH SCHOOL,Quartz Hill,Los Angeles,52,11,5,0.21153846153846154
RAFFLES INSTITUTION,nan,nan,112,15,8,0.13392857142857142
RAMONA HIGH SCHOOL,Riverside,Riverside,22,8,6,0.36363636363636365
RANCHO BERNARDO HIGH SCHOOL,San Diego,San Diego,76,9,5,0.11842105263157894
RANCHO BUENA VISTA HIGH SCHOOL,Vista,San Diego,33,12,7,0.36363636363636365
RANCHO MIRAGE HIGH SCHOOL,Rancho Mirage,Riverside,17,4,3,0.23529411764705882
RAOUL WALLENBERG TRADITIONAL,San Francisco,San Francisco,46,9,6,0.1956521739130435
REDLANDS EAST VALLEY HS,Redlands,San Bernardino,23,6,4,0.2608695652173913
REDWOOD HIGH SCHOOL,Larkspur,Marin,127,15,9,0.11811023622047244
REEDLEY HIGH SCHOOL,Reedley,Fresno,29,5,3,0.1724137931034483
RESEDA HIGH SCHOOL,Reseda,Los Angeles,21,5,3,0.23809523809523808
RIALTO HIGH SCHOOL,Rialto,San Bernardino,29,11,3,0.3793103448275862
RICHMOND HIGH SCHOOL,Richmond,Contra Costa,35,8,7,0.22857142857142856
RIDGE HIGH SCHOOL,Basking Ridge,NJ,23,11,5,0.4782608695652174
RIO AMERICANO HIGH SCHOOL,Sacramento,Sacramento,44,5,3,0.11363636363636363
RIVERSIDE POLY HIGH SCHOOL,Riverside,Riverside,33,10,3,0.30303030303030304
ROBERT A MILLIKAN HIGH SCHOOL,Long Beach,Los Angeles,67,11,5,0.16417910447761194
ROBERT COLLEGE,nan,nan,38,11,3,0.2894736842105263
ROBERT L STEVENSON HIGH SCHOOL,Pebble Beach,Monterey,51,9,3,0.17647058823529413
ROCK RIDGE HIGH SCHOOL,Ashburn,VA,9,5,4,0.5555555555555556
ROSELAND COLLEGIATE PREP,Santa Rosa,Sonoma,5,4,4,0.8
ROSELAND UNIVERSITY PREP,Santa Rosa,Sonoma,11,7,4,0.6363636363636364
ROSEMEAD HIGH SCHOOL,Rosemead,Los Angeles,47,10,5,0.2127659574468085
ROSEMONT HIGH SCHOOL,Sacramento,Sacramento,20,3,3,0.15
RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino,79,14,10,0.17721518987341772
RUSSIA,nan,nan,36,4,3,0.1111111111111111
RUTGERS PREPARATORY SCHOOL,Somerset,NJ,17,5,4,0.29411764705882354
RUTH ASAWA SCHOOL OF THE ARTS,San Francisco,San Francisco,75,20,8,0.26666666666666666
SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,30,6,4,0.2
SACRED HEART CATHEDRAL PREP,San Francisco,San Francisco,67,17,3,0.2537313432835821
SACRED HEART PREPARATORY SCH,Atherton,San Mateo,50,14,7,0.28
SAGE CREEK HIGH SCHOOL,Carlsbad,San Diego,52,13,3,0.25
SAGE HILL SCHOOL,Newport Coast,Orange,72,20,7,0.2777777777777778
SAINT FRANCIS HIGH SCHOOL,Mountain View,Santa Clara,125,19,10,0.152
SAINT FRANCIS HIGH SCHOOL,Sacramento,Sacramento,35,7,4,0.2
SAINT IGNATIUS COLLEGE PREP SC,San Francisco,San Francisco,141,30,12,0.2127659574468085
