Name,City,Region,Applied,Admitted,Enrolled,Acceptance Rate
VILLA PARK HIGH SCHOOL,Villa Park,Orange,41,14,3,0.34146341463414637
VILLAGE CHRISTIAN HIGH SCHOOL,Sun Valley,Los Angeles,26,5,3,0.19230769230769232
VISTA DEL LAGO HIGH SCHOOL,Folsom,Sacramento,77,29,19,0.37662337662337664
W C OVERFELT HIGH SCHOOL,San Jose,Santa Clara,46,13,5,0.2826086956521739
WALNUT HIGH SCHOOL,Walnut,Los Angeles,169,35,14,0.20710059171597633
WALT WHITMAN HIGH SCHOOL,Bethesda,MD,46,12,5,0.2608695652173913
WARREN HIGH SCHOOL,Downey,Los Angeles,56,16,5,0.2857142857142857
WASHINGTON HIGH SCHOOL,Fremont,Alameda,124,19,15,0.1532258064516129
WATSONVILLE HIGH SCHOOL,Watsonville,Santa Cruz,50,11,8,0.22
WAYZATA HIGH SCHOOL,Plymouth,MN,40,11,3,0.275
WEST ADAMS PREPARATORY HS,Los Angeles,Los Angeles,25,8,3,0.32
WEST CAMPUS HIGH SCHOOL,Sacramento,Sacramento,52,9,3,0.17307692307692307
WEST HIGH SCHOOL,Torrance,Los Angeles,97,19,11,0.1958762886597938
WEST RANCH HIGH SCHOOL,Valencia,Los Angeles,99,28,12,0.2828282828282828
WEST WINDSOR-PLAINSBORO HS N,Plainsboro,NJ,40,9,3,0.225
WEST WINDSOR-PLAINSBORO SOUTH,West Windsor,NJ,48,11,6,0.22916666666666666
WESTERN CENTER ACADEMY,Hemet,Riverside,13,7,3,0.5384615384615384
WESTLAKE HIGH SCHOOL,Westlake Village,Ventura,122,35,18,0.28688524590163933
WESTLAKE HIGH SCHOOL,Austin,TX,65,19,3,0.2923076923076923
WESTMINSTER HIGH SCHOOL,Westminster,Orange,40,16,6,0.4
WESTMONT HIGH SCHOOL,Campbell,Santa Clara,66,8,3,0.12121212121212122
WESTVIEW HIGH SCHOOL,San Diego,San Diego,151,31,18,0.2052980132450331
WESTVIEW HIGH SCHOOL,Portland,OR,43,13,5,0.3023255813953488
WESTWOOD HIGH SCHOOL,Austin,TX,61,17,4,0.2786885245901639
WHITTIER HIGH SCHOOL,Whittier,Los Angeles,31,15,6,0.4838709677419355
WILL C WOOD HIGH SCHOOL,Vacaville,Solano,19,6,5,0.3157894736842105
WILLIAM FREMD HIGH SCHOOL,Palatine,IL,38,7,3,0.18421052631578946
WILLIAM HOWARD TAFT HS,Woodland Hills,Los Angeles,51,12,7,0.23529411764705882
WILLIAM J PETE KNIGHT HIGH SCH,Palmdale,Los Angeles,34,11,4,0.3235294117647059
WILLIAM P CLEMENTS HIGH SCHOOL,Sugar Land,TX,64,15,3,0.234375
WILLIAM S HART HIGH SCHOOL,Newhall,Los Angeles,39,7,6,0.1794871794871795
WILLOW GLEN HIGH SCHOOL,San Jose,Santa Clara,64,14,10,0.21875
WINDSOR HIGH SCHOOL,Windsor,Sonoma,38,7,5,0.18421052631578946
WINDWARD SCHOOL,Los Angeles,Los Angeles,57,10,4,0.17543859649122806
WINSTON CHURCHILL HIGH SCHOOL,Potomac,MD,50,12,4,0.24
WOODBRIDGE HIGH SCHOOL,Irvine,Orange,142,42,23,0.29577464788732394
WOODROW WILSON HIGH SCHOOL,Long Beach,Los Angeles,85,20,7,0.23529411764705882
WOODROW WILSON HIGH SCHOOL,Los Angeles,Los Angeles,40,12,6,0.3
WOODSIDE HIGH SCHOOL,Woodside,San Mateo,71,18,10,0.2535211267605634
WOODSIDE PRIORY SCHOOL,Portola Valley,San Mateo,30,10,6,0.3333333333333333
WUHAN FOREIGN LANGUAGES SCHOOL,nan,nan,91,9,6,0.0989010989010989
YERBA BUENA HIGH SCHOOL,San Jose,Santa Clara,65,17,11,0.26153846153846155
YGNACIO VALLEY HIGH SCHOOL,Concord,Contra Costa,31,7,4,0.22580645161290322
YONGSAN INTL SCHOOL SEOUL,nan,nan,31,9,4,0.2903225806451613
YORBA LINDA HIGH SCHOOL,Yorba Linda,Orange,63,11,5,0.1746031746031746
